vendor_file,old_fqcn,new_fqcn
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Event/Subscribe/DesignImageGenerationSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskFileDomainService","App\Domain\SuperMagic\File\Service\TaskFileDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/DesignAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ProjectEntity","App\Domain\SuperMagic\Project\Entity\ProjectEntity"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/DesignAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\MemberRole","App\Domain\SuperMagic\Project\Entity\ValueObject\MemberRole"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/DesignAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectMemberDomainService","App\Domain\SuperMagic\Project\Service\ProjectMemberDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/DesignAppService.php","Dtyq\SuperMagic\ErrorCode\SuperAgentErrorCode","App\ErrorCode\SuperAgentErrorCode"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageGenerationAppService.php","Dtyq\SuperMagic\Application\Contract\UserAiWatermarkPolicyInterface","App\Application\SuperMagic\Common\Contract\UserAiWatermarkPolicyInterface"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageGenerationAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\MemberRole","App\Domain\SuperMagic\Project\Entity\ValueObject\MemberRole"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageGenerationAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageGenerationAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskFileDomainService","App\Domain\SuperMagic\File\Service\TaskFileDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageMarkIdentifyAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\MemberRole","App\Domain\SuperMagic\Project\Entity\ValueObject\MemberRole"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageMarkIdentifyAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Design/Service/ImageMarkIdentifyAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskFileDomainService","App\Domain\SuperMagic\File\Service\TaskFileDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ProjectEntity","App\Domain\SuperMagic\Project\Entity\ProjectEntity"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\TaskFileEntity","App\Domain\SuperMagic\File\Entity\TaskFileEntity"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\FileType","App\Domain\SuperMagic\File\Entity\ValueObject\FileType"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\TaskFileSource","App\Domain\SuperMagic\File\Entity\ValueObject\TaskFileSource"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Event/Subscribe/DesignVideoPollConsumer.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskFileDomainService","App\Domain\SuperMagic\File\Service\TaskFileDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Service/DesignVideoAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ProjectEntity","App\Domain\SuperMagic\Project\Entity\ProjectEntity"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Service/DesignVideoAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\MemberRole","App\Domain\SuperMagic\Project\Entity\ValueObject\MemberRole"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Service/DesignVideoAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\ProjectDomainService","App\Domain\SuperMagic\Project\Service\ProjectDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/DesignGeneration/Service/DesignVideoAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskFileDomainService","App\Domain\SuperMagic\File\Service\TaskFileDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Invitation/Service/Showcase/ShowcaseCaseAppService.php","Dtyq\SuperMagic\Domain\Share\Service\ResourceShareDomainService","App\Domain\SuperMagic\Common\Share\Service\ResourceShareDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/Invitation/Service/Showcase/ShowcaseCaseAppService.php","Dtyq\SuperMagic\Infrastructure\Utils\PasswordCrypt","App\Infrastructure\SuperMagic\Utils\PasswordCrypt"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Event/Subscribe/RunTaskBeforeEventSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\RunTaskBeforeEvent","App\Domain\SuperMagic\Task\Event\RunTaskBeforeEvent"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/BillingManager/BillingManagerAppService.php","Dtyq\SuperMagic\Application\SuperAgent\Service\AbstractAppService","App\Application\SuperMagic\Common\Service\AbstractAppService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/ContentAudit/ContentAuditTopicAppService.php","Dtyq\SuperMagic\Application\SuperAgent\Service\AbstractAppService","App\Application\SuperMagic\Common\Service\AbstractAppService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/ContentAudit/ContentAuditTopicAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\TaskStatus","App\Domain\SuperMagic\Task\Entity\ValueObject\TaskStatus"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/ContentAudit/ContentAuditTopicAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TaskDomainService","App\Domain\SuperMagic\Task\Service\TaskDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/Statistics/StatisticsAppService.php","Dtyq\SuperMagic\Application\SuperAgent\Service\AbstractAppService","App\Application\SuperMagic\Common\Service\AbstractAppService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/Statistics/StatisticsAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/Workspace/WorkspaceAppService.php","Dtyq\SuperMagic\Application\SuperAgent\Service\AbstractAppService","App\Application\SuperMagic\Common\Service\AbstractAppService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Admin/Workspace/WorkspaceAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\WorkspaceDomainService","App\Domain\SuperMagic\Workspace\Service\WorkspaceDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/Policy/EnterpriseUserAiWatermarkPolicy.php","Dtyq\SuperMagic\Application\Contract\UserAiWatermarkPolicyInterface","App\Application\SuperMagic\Common\Contract\UserAiWatermarkPolicyInterface"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperAgent/Service/UsageCalculator/TopicConcurrencyAppService.php","Dtyq\SuperMagic\Domain\SuperAgent\Service\TopicDomainService","App\Domain\SuperMagic\Topic\Service\TopicDomainService"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperMagic/LLMShield/LLMShieldPromptContentValidator.php","Dtyq\SuperMagic\Application\Contract\PromptContentValidatorInterface","App\Application\SuperMagic\Common\Contract\PromptContentValidatorInterface"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperMagic/LLMShield/Subscribe/LLMShieldChatPromptSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\RunTaskBeforeEvent","App\Domain\SuperMagic\Task\Event\RunTaskBeforeEvent"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperMagic/NonHuman/DataProvider/TaskDataProvider.php","Dtyq\SuperMagic\Domain\SuperAgent\Repository\Model\TaskModel","App\Domain\SuperMagic\Task\Repository\Model\TaskModel"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperMagic/NonHuman/Subscribe/NonHumanTaskStartLimitSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\DynamicConfig\DynamicConfigManager","App\Domain\SuperMagic\Common\Entity\ValueObject\DynamicConfig\DynamicConfigManager"
"vendor/dtyq/magic-enterprise-service/src/Application/SuperMagic/NonHuman/Subscribe/NonHumanTaskStartLimitSubscriber.php","Dtyq\SuperMagic\Domain\SuperAgent\Event\RunTaskBeforeEvent","App\Domain\SuperMagic\Task\Event\RunTaskBeforeEvent"
"vendor/dtyq/magic-enterprise-service/src/ConfigProvider.php","Dtyq\SuperMagic\Application\Contract\DeploymentIdInterface","App\Application\SuperMagic\Common\Contract\DeploymentIdInterface"
"vendor/dtyq/magic-enterprise-service/src/ConfigProvider.php","Dtyq\SuperMagic\Application\Contract\PromptContentValidatorInterface","App\Application\SuperMagic\Common\Contract\PromptContentValidatorInterface"
"vendor/dtyq/magic-enterprise-service/src/ConfigProvider.php","Dtyq\SuperMagic\Application\Contract\UserAiWatermarkPolicyInterface","App\Application\SuperMagic\Common\Contract\UserAiWatermarkPolicyInterface"
"vendor/dtyq/magic-enterprise-service/src/Domain/SuperAgent/Entity/ValueObject/Query/EnterpriseTopicQuery.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\Query\TopicQuery","App\Domain\SuperMagic\Topic\Entity\ValueObject\Query\TopicQuery"
"vendor/dtyq/magic-enterprise-service/src/Domain/SuperAgent/ReadModel/AdminTopicListReadModel.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\TaskStatus","App\Domain\SuperMagic\Task\Entity\ValueObject\TaskStatus"
"vendor/dtyq/magic-enterprise-service/src/Domain/SuperAgent/Repository/Persistence/EnterpriseTopicRepository.php","Dtyq\SuperMagic\Domain\SuperAgent\Entity\ValueObject\TaskStatus","App\Domain\SuperMagic\Task\Entity\ValueObject\TaskStatus"
"vendor/dtyq/magic-enterprise-service/src/Domain/SuperAgent/Repository/Persistence/EnterpriseTopicRepository.php","Dtyq\SuperMagic\Domain\SuperAgent\Repository\Model\TopicModel","App\Domain\SuperMagic\Topic\Repository\Model\TopicModel"
"vendor/dtyq/magic-enterprise-service/src/Infrastructure/Core/Constants/DeploymentIdConstant.php","Dtyq\SuperMagic\Application\Contract\DeploymentIdInterface","App\Application\SuperMagic\Common\Contract\DeploymentIdInterface"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/File/FileApi.php","Dtyq\SuperMagic\Application\SuperAgent\Service\FileManagementAppService","App\Application\SuperMagic\File\Service\FileManagementAppService"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/File/FileApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\GetFileUrlsRequestDTO","App\Interfaces\SuperMagic\File\DTO\Request\GetFileUrlsRequestDTO"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/File/FileApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/ContentAudit/ContentAuditTopicApi.php","Dtyq\SuperMagic\Application\SuperAgent\Service\ProjectAppService","App\Application\SuperMagic\Project\Service\ProjectAppService"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/ContentAudit/ContentAuditTopicApi.php","Dtyq\SuperMagic\Application\SuperAgent\Service\TopicAppService","App\Application\SuperMagic\Topic\Service\TopicAppService"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/ContentAudit/ContentAuditTopicApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\GetProjectAttachmentsRequestDTO","App\Interfaces\SuperMagic\File\DTO\Request\GetProjectAttachmentsRequestDTO"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/ContentAudit/ContentAuditTopicApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\GetTopicAttachmentsRequestDTO","App\Interfaces\SuperMagic\File\DTO\Request\GetTopicAttachmentsRequestDTO"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/ContentAudit/ContentAuditTopicApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/File/StsTokenApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Statistics/StatisticsApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Topic/TopicApi.php","Dtyq\SuperMagic\Application\SuperAgent\Service\FileManagementAppService","App\Application\SuperMagic\File\Service\FileManagementAppService"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Topic/TopicApi.php","Dtyq\SuperMagic\Application\SuperAgent\Service\TopicAppService","App\Application\SuperMagic\Topic\Service\TopicAppService"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Topic/TopicApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\DTO\Request\GetTopicAttachmentsRequestDTO","App\Interfaces\SuperMagic\File\DTO\Request\GetTopicAttachmentsRequestDTO"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Topic/TopicApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Admin/Workspace/WorkspaceApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Config/ConfigApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
"vendor/dtyq/magic-enterprise-service/src/Interfaces/SuperAgent/Facade/Gov/GovCredentialApi.php","Dtyq\SuperMagic\Interfaces\SuperAgent\Facade\AbstractApi","App\Interfaces\SuperMagic\Common\Support\Facade\AbstractApi"
